"Build quality strong ide, feel premium in hand."
"Battery life thik hai, but charging slow lag raha hai."
"Delivery on time tha, delivery boy thoda rude tha."
"Product fake lag raha hai, totally disappointed."
"ಬೆಲೆ swalpa jasthi ide, but quality chennagide."
"Performance smooth hai, gaming ke liye bhi acha hai."
"Packaging neat tha, but inside accessories missing."
"Camera average hai, expected better at this price."
"ಖರೀದಿ madiddu okay ide, but not fully satisfied."
"Customer support bahut slow hai, problem solve nahi hua."
"Display bright hai, outdoor usage easy hai."
"Battery drain fast hota hai jab heavy use karte hai."
"Delivery experience decent tha, koi issue nahi."
"Product feel cheap hai, price ke hisaab se worth nahi."
